family,supply_v,mounting,duty,kw,hp,reference,line_current_a,line_current_b,max_continuous_a,max_transient_60s_a,has_dc_choke,emc_note,ip_note,variant_rank,is_default_variant,source_pdf,source_page
ATV630,200-240 V,wall,ND,0.75,1,ATV630U07M3,3,2.6,4.6,5.1,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,HD,0.37,0.5,ATV630U07M3,1.7,1.5,3.3,5,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,ND,1.5,2,ATV630U15M3,5.9,5,8,8.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,HD,0.75,1,ATV630U15M3,3.3,3,4.6,6.9,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,ND,2.2,3,ATV630U22M3,8.4,7.2,11.2,12.3,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,HD,1.5,2,ATV630U22M3,6,5.3,8,12,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,ND,3,,ATV630U30M3,11.5,9.9,13.7,15.1,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,HD,2.2,3,ATV630U30M3,8.7,7.6,11.2,16.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,ND,4,5,ATV630U40M3,15.1,12.9,18.7,20.6,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,HD,3,,ATV630U40M3,11.7,10.2,13.7,20.6,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
