reference,motor_kw,motor_hp,fan_kit,filter_10pct_50hz,filter_5pct_50hz,filter_10pct_60hz,filter_5pct_60hz,emc_filter,source_sheet,source_file
ATV630U07N4,,,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,VW3A4701,Full Sheet,Passive filter selection guide.xlsx
ATV630U15N4,,,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,VW3A4701,Full Sheet,Passive filter selection guide.xlsx
ATV630U22N4,,,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,VW3A4701,Full Sheet,Passive filter selection guide.xlsx
ATV630U30N4,,,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,VW3A4702,Full Sheet,Passive filter selection guide.xlsx
ATV630U40N4,,,VX5VPS1001,VW3A46102,VW3A46121,VW3A46140,VW3A46159,VW3A4702,Full Sheet,Passive filter selection guide.xlsx
ATV630U55N4,,,VX5VPS1001,VW3A46102,VW3A46121,VW3A46140,VW3A46159,VW3A4702,Full Sheet,Passive filter selection guide.xlsx
ATV630U75N4,,,VX5VPS2001,VW3A46103,VW3A46122,VW3A46141,VW3A46160,VW3A4703,Full Sheet,Passive filter selection guide.xlsx
ATV630D11N4,,,VX5VPS2001,VW3A46104,VW3A46123,VW3A46142,VW3A46161,VW3A4703,Full Sheet,Passive filter selection guide.xlsx
ATV630D15N4,,,VX5VPS3001,VW3A46105,VW3A46124,VW3A46143,VW3A46162,VW3A4703,Full Sheet,Passive filter selection guide.xlsx
ATV630D18N4,,,VX5VPS3001,VW3A46106,VW3A46125,VW3A46144,VW3A46163,VW3A4704,Full Sheet,Passive filter selection guide.xlsx
ATV630D22N4,,,VX5VPS3001,VW3A46107,VW3A46126,VW3A46145,VW3A46164,VW3A4704,Full Sheet,Passive filter selection guide.xlsx
ATV630D30N4,,,VX5VPS4001,VW3A46108,VW3A46127,VW3A46146,VW3A46165,VW3A4705,Full Sheet,Passive filter selection guide.xlsx
ATV630D37N4,,,VX5VPS4001,VW3A46109,VW3A46128,VW3A46147,VW3A46166,VW3A4706,Full Sheet,Passive filter selection guide.xlsx
ATV630D45N4,,,VX5VPS4001,VW3A46110,VW3A46129,VW3A46148,VW3A46167,VW3A4706,Full Sheet,Passive filter selection guide.xlsx
ATV630D55N4,,,VX5VPS5001,VW3A46111,VW3A46130,VW3A46149,VW3A46168,VW3A4707,Full Sheet,Passive filter selection guide.xlsx
ATV630D75N4,,,VX5VPS5001,VW3A46112,VW3A46131,VW3A46150,VW3A46169,VW3A4708,Full Sheet,Passive filter selection guide.xlsx
ATV630D90N4,,,VX5VPS5001,VW3A46113,VW3A46132,VW3A46151,VW3A46170,VW3A4708,Full Sheet,Passive filter selection guide.xlsx
ATV630C11N4,,,VX5VPS6001,VW3A46114,VW3A46133,VW3A46152,VW3A46171,VW3A4709,Full Sheet,Passive filter selection guide.xlsx
ATV630C13N4,,,VX5VPS6001,VW3A46115,VW3A46134,VW3A46153,VW3A46172,VW3A4709,Full Sheet,Passive filter selection guide.xlsx
ATV630C16N4,,,VX5VPS6001,VW3A46116,VW3A46135,VW3A46154,VW3A46173,VW3A4710,Full Sheet,Passive filter selection guide.xlsx
ATV630C22N4,,,VZ3V1212 -3,VW3A46118,VW3A46137,VW3A46155,VW3A46174,VW3A4411,Full Sheet,Passive filter selection guide.xlsx
ATV630C25N4,,,VZ3V1212 -3,VW3A46119,VW3A46138,VW3A46157,VW3A46176,VW3A4411,Full Sheet,Passive filter selection guide.xlsx
ATV630C31N4,,,VZ3V1212 -3,VW3A46116 x2,VW3A46135 x2,VW3A46153 x2,VW3A46172 x2,VW3A4411,Full Sheet,Passive filter selection guide.xlsx
ATV650U07N4,0.75,1,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,,Full Sheet,Passive filter selection guide.xlsx
ATV650U15N4,1.5,2,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,,Full Sheet,Passive filter selection guide.xlsx
ATV650U22N4,2.2,3,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,,Full Sheet,Passive filter selection guide.xlsx
ATV650U30N4,3,,VX5VPS1001,VW3A46101,VW3A46120,VW3A46139,VW3A46158,,Full Sheet,Passive filter selection guide.xlsx
ATV650U40N4,4,5,VX5VPS1001,VW3A46102,VW3A46121,VW3A46140,VW3A46159,,Full Sheet,Passive filter selection guide.xlsx
ATV650U55N4,5.5,7.5,VX5VPS1001,VW3A46102,VW3A46121,VW3A46140,VW3A46159,,Full Sheet,Passive filter selection guide.xlsx
