motor_kw,motor_hp,for_drive_refs,filter_current_in_a,filter_current_out_a,quantity_per_drive,filter_reference,supply,thdi_note,source_pdf,source_page
0.75,1.0,ATV630U07N4|ATV650U07N4|ATV650U07N4E,6.0,6.2,1,VW3A46101,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
1.5,2.0,ATV630U15N4|ATV650U15N4|ATV650U15N4E,10.0,10.4,1,VW3A46102,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
2.2,3.0,ATV630U22N4|ATV650U22N4|ATV650U22N4E,10.0,10.4,1,VW3A46102,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
3.0,,ATV630U30N4|ATV650U30N4|ATV650U30N4E,10.0,10.4,1,VW3A46102,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
4.0,5.0,ATV630U40N4|ATV650U40N4|ATV650U40N4E,10.0,10.4,1,VW3A46102,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
5.5,7.5,ATV630U55N4|ATV650U55N4|ATV650U55N4E,14.0,14.5,1,VW3A46103,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
7.5,10.0,ATV630U75N4|ATV650U75N4|ATV650U75N4E,14.0,14.5,1,VW3A46103,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
11.0,15.0,ATV630D11N4|ATV650D11N4|ATV650D11N4E,22.0,23.0,1,VW3A46104,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
15.0,20.0,ATV630D15N4|ATV650D15N4|ATV650D15N4E,29.0,30.0,1,VW3A46105,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
18.5,25.0,ATV630D18N4|ATV650D18N4|ATV650D18N4E,35.0,37.0,1,VW3A46106,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
22.0,30.0,ATV630D22N4|ATV650D22N4|ATV650D22N4E,43.0,45.0,1,VW3A46107,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
30.0,40.0,ATV630D30N4|ATV650D30N4|ATV650D30N4E,58.0,60.0,1,VW3A46108,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
37.0,50.0,ATV630D37N4|ATV650D37N4|ATV650D37N4E,72.0,75.0,1,VW3A46109,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
45.0,60.0,ATV630D45N4|ATV650D45N4|ATV650D45N4E,86.0,90.0,1,VW3A46110,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
55.0,75.0,ATV630D55N4|ATV650D55N4|ATV650D55N4E,101.0,105.0,1,VW3A46111,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
75.0,100.0,ATV630D75N4|ATV650D75N4|ATV650D75N4E,144.0,150.0,1,VW3A46112,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,52
